lsoa11cd,lsoa11nm,ladcd,ladnm,ladnmw,wimd_2019,FID
W01000322,New Brighton 2,W06000005,Flintshire,Sir y Fflint,1484,365
W01000323,Northop 1,W06000005,Flintshire,Sir y Fflint,1678,366
W01000324,Northop 2,W06000005,Flintshire,Sir y Fflint,1865,367
W01000325,Northop Hall,W06000005,Flintshire,Sir y Fflint,1772,368
W01000326,Penyffordd 1,W06000005,Flintshire,Sir y Fflint,1763,369
W01000327,Penyffordd 2,W06000005,Flintshire,Sir y Fflint,1773,370
W01000328,Queensferry,W06000005,Flintshire,Sir y Fflint,441,371
W01000329,Saltney Mold Junction,W06000005,Flintshire,Sir y Fflint,545,372
W01000330,Saltney Stonebridge 1,W06000005,Flintshire,Sir y Fflint,789,373
W01000331,Saltney Stonebridge 2,W06000005,Flintshire,Sir y Fflint,1287,374
W01000332,Sealand 1,W06000005,Flintshire,Sir y Fflint,575,375
W01000333,Sealand 2,W06000005,Flintshire,Sir y Fflint,158,376
W01000334,Shotton East,W06000005,Flintshire,Sir y Fflint,870,377
W01000335,Shotton Higher 1,W06000005,Flintshire,Sir y Fflint,260,378
W01000336,Shotton Higher 2,W06000005,Flintshire,Sir y Fflint,98,379
W01000337,Shotton West,W06000005,Flintshire,Sir y Fflint,1022,380
W01000338,Trelawnyd and Gwaenysgor,W06000005,Flintshire,Sir y Fflint,1052,381
W01000339,Treuddyn,W06000005,Flintshire,Sir y Fflint,1120,382
W01000340,Whitford,W06000005,Flintshire,Sir y Fflint,1617,383
W01000341,Acton 1,W06000006,Wrexham,Wrecsam,961,384
W01000342,Acton 2,W06000006,Wrexham,Wrecsam,542,385
W01000343,Borras Park 1,W06000006,Wrexham,Wrecsam,1877,386
W01000344,Borras Park 2,W06000006,Wrexham,Wrecsam,1776,387
W01000345,Bronington 1,W06000006,Wrexham,Wrecsam,1444,388
W01000346,Bronington 2,W06000006,Wrexham,Wrecsam,1290,389
W01000347,Brymbo 1,W06000006,Wrexham,Wrecsam,1514,390
W01000348,Brymbo 2,W06000006,Wrexham,Wrecsam,529,391
W01000349,Brynyffynnon 1,W06000006,Wrexham,Wrecsam,1073,392
W01000350,Brynyffynnon 2,W06000006,Wrexham,Wrecsam,445,393
W01000351,Bryn Cefn,W06000006,Wrexham,Wrecsam,1049,394
W01000352,Cartrefle 1,W06000006,Wrexham,Wrecsam,507,395
W01000353,Cartrefle 2,W06000006,Wrexham,Wrecsam,156,396
W01000354,Cefn 1,W06000006,Wrexham,Wrecsam,1153,397
W01000355,Cefn 2,W06000006,Wrexham,Wrecsam,562,398
W01000356,Cefn 3,W06000006,Wrexham,Wrecsam,513,399
W01000359,Chirk North 1,W06000006,Wrexham,Wrecsam,1160,400
W01000524,Ciliau Aeron,W06000008,Ceredigion,Ceredigion,1040,401
W01000525,Faenor 1,W06000008,Ceredigion,Ceredigion,1875,402
W01000527,Lampeter 1,W06000008,Ceredigion,Ceredigion,1360,403
W01000528,Lampeter 2,W06000008,Ceredigion,Ceredigion,843,404
W01000529,Llanarth,W06000008,Ceredigion,Ceredigion,858,405
W01000531,Llandyfriog,W06000008,Ceredigion,Ceredigion,891,406
W01000532,Llandysiliogogo,W06000008,Ceredigion,Ceredigion,1111,407
W01000533,Llandysul Town,W06000008,Ceredigion,Ceredigion,755,408
W01000534,Llanfarian,W06000008,Ceredigion,Ceredigion,1472,409
W01000535,Llanfihangel Ystrad,W06000008,Ceredigion,Ceredigion,714,410
W01000536,Llangeitho,W06000008,Ceredigion,Ceredigion,685,411
W01000537,Llangybi,W06000008,Ceredigion,Ceredigion,776,412
W01000538,Llanrhystyd,W06000008,Ceredigion,Ceredigion,1003,413
W01000539,Llansantffraed 1,W06000008,Ceredigion,Ceredigion,767,414
W01000540,Llansantffraed 2,W06000008,Ceredigion,Ceredigion,981,415
W01000541,Llanwenog,W06000008,Ceredigion,Ceredigion,916,416
W01000542,Lledrod,W06000008,Ceredigion,Ceredigion,689,417
W01000543,Melindwr,W06000008,Ceredigion,Ceredigion,802,418
W01000544,New Quay,W06000008,Ceredigion,Ceredigion,1076,419
W01000545,Penbryn,W06000008,Ceredigion,Ceredigion,1055,420
W01000546,Pen-parc 1,W06000008,Ceredigion,Ceredigion,894,421
W01000547,Pen-parc 2,W06000008,Ceredigion,Ceredigion,1321,422
W01000548,Tirymynach,W06000008,Ceredigion,Ceredigion,1266,423
W01000549,Trefeurig,W06000008,Ceredigion,Ceredigion,1604,424
W01000550,Tregaron,W06000008,Ceredigion,Ceredigion,765,425
W01000551,Troedyraur,W06000008,Ceredigion,Ceredigion,1011,426
W01000552,Ystwyth,W06000008,Ceredigion,Ceredigion,1270,427
W01000553,Amroth,W06000009,Pembrokeshire,Sir Benfro,1079,428
W01000554,Burton,W06000009,Pembrokeshire,Sir Benfro,1450,429
W01000555,Camrose 1,W06000009,Pembrokeshire,Sir Benfro,1402,430
W01000556,Camrose 2,W06000009,Pembrokeshire,Sir Benfro,1258,431
W01000557,Carew,W06000009,Pembrokeshire,Sir Benfro,1392,432
W01000558,Cilgerran,W06000009,Pembrokeshire,Sir Benfro,1148,433
W01000559,Clydau,W06000009,Pembrokeshire,Sir Benfro,880,434
W01000560,Crymych 1,W06000009,Pembrokeshire,Sir Benfro,1017,435
W01000561,Crymych 2,W06000009,Pembrokeshire,Sir Benfro,1180,436
W01000562,Dinas Cross,W06000009,Pembrokeshire,Sir Benfro,1218,437
W01000563,East Williamston 1,W06000009,Pembrokeshire,Sir Benfro,848,438
W01000564,East Williamston 2,W06000009,Pembrokeshire,Sir Benfro,1397,439
W01000565,Fishguard North East,W06000009,Pembrokeshire,Sir Benfro,989,440
W01000566,Fishguard North West,W06000009,Pembrokeshire,Sir Benfro,936,441
W01000567,Goodwick,W06000009,Pembrokeshire,Sir Benfro,927,442
W01000568,Haverfordwest: Castle,W06000009,Pembrokeshire,Sir Benfro,424,443
W01000569,Haverfordwest: Garth 1,W06000009,Pembrokeshire,Sir Benfro,1311,444
W01000570,Haverfordwest: Garth 2,W06000009,Pembrokeshire,Sir Benfro,71,445
W01000571,Haverfordwest: Portfield,W06000009,Pembrokeshire,Sir Benfro,960,446
W01000572,Haverfordwest: Prendergast,W06000009,Pembrokeshire,Sir Benfro,1205,447
W01000573,Haverfordwest: Priory,W06000009,Pembrokeshire,Sir Benfro,1435,448
W01000574,Hundleton,W06000009,Pembrokeshire,Sir Benfro,982,449
W01000575,Johnston,W06000009,Pembrokeshire,Sir Benfro,1059,450
W01000410,Ponciau 1,W06000006,Wrexham,Wrecsam,997,451
W01000729,Trimsaran 1,W06000010,Carmarthenshire,Sir Gaerfyrddin,342,452
W01000466,Llanidloes 1,W06000023,Powys,Powys,1532,453
W01000626,Ammanford 2,W06000010,Carmarthenshire,Sir Gaerfyrddin,434,454
W01000730,Trimsaran 2,W06000010,Carmarthenshire,Sir Gaerfyrddin,543,455
W01000731,Tycroes,W06000010,Carmarthenshire,Sir Gaerfyrddin,1296,456
W01000732,Tyisha 1,W06000010,Carmarthenshire,Sir Gaerfyrddin,396,457
W01000733,Tyisha 2,W06000010,Carmarthenshire,Sir Gaerfyrddin,17,458
W01000734,Tyisha 3,W06000010,Carmarthenshire,Sir Gaerfyrddin,144,459
W01000735,Whitland,W06000010,Carmarthenshire,Sir Gaerfyrddin,1268,460
W01000736,Bishopston 1,W06000011,Swansea,Abertawe,1895,461
W01000737,Bishopston 2,W06000011,Swansea,Abertawe,1825,462
W01000738,Bonymaen 1,W06000011,Swansea,Abertawe,81,463
W01000739,Bonymaen 2,W06000011,Swansea,Abertawe,460,464
W01000740,Bonymaen 3,W06000011,Swansea,Abertawe,1158,465
W01000741,Bonymaen 4,W06000011,Swansea,Abertawe,355,466
W01000742,Castle 1,W06000011,Swansea,Abertawe,23,467
W01000744,Castle 3,W06000011,Swansea,Abertawe,290,468
W01000745,Castle 4,W06000011,Swansea,Abertawe,321,469
W01000746,Castle 5,W06000011,Swansea,Abertawe,448,470
W01000747,Castle 6,W06000011,Swansea,Abertawe,643,471
W01000749,Castle 8,W06000011,Swansea,Abertawe,660,472
W01000750,Clydach 1,W06000011,Swansea,Abertawe,496,473
W01000751,Clydach 2,W06000011,Swansea,Abertawe,1714,474
W01000752,Clydach 3,W06000011,Swansea,Abertawe,297,475
W01000753,Clydach 4,W06000011,Swansea,Abertawe,697,476
W01000754,Clydach 5,W06000011,Swansea,Abertawe,766,477
W01000755,Cockett 1,W06000011,Swansea,Abertawe,861,478
W01000756,Cockett 2,W06000011,Swansea,Abertawe,229,479
W01000757,Cockett 3,W06000011,Swansea,Abertawe,775,480
W01000758,Cockett 4,W06000011,Swansea,Abertawe,1163,481
W01000759,Cockett 5,W06000011,Swansea,Abertawe,1539,482
W01000760,Cockett 6,W06000011,Swansea,Abertawe,624,483
W01000761,Cockett 7,W06000011,Swansea,Abertawe,724,484
W01000762,Cockett 8,W06000011,Swansea,Abertawe,207,485
W01000763,Cwmbwrla 1,W06000011,Swansea,Abertawe,649,486
W01000764,Cwmbwrla 2,W06000011,Swansea,Abertawe,732,487
W01000765,Cwmbwrla 3,W06000011,Swansea,Abertawe,719,488
W01000766,Cwmbwrla 4,W06000011,Swansea,Abertawe,1057,489
W01000767,Cwmbwrla 5,W06000011,Swansea,Abertawe,417,490
W01000768,Dunvant 1,W06000011,Swansea,Abertawe,1501,491
W01000769,Dunvant 2,W06000011,Swansea,Abertawe,1797,492
W01000770,Dunvant 3,W06000011,Swansea,Abertawe,1808,493
W01000771,Fairwood 2,W06000011,Swansea,Abertawe,1516,494
W01000772,Fairwood 1,W06000011,Swansea,Abertawe,1718,495
W01000773,Gorseinon 1,W06000011,Swansea,Abertawe,762,496
W01000774,Gorseinon 2,W06000011,Swansea,Abertawe,1030,497
W01000775,Gower (Swansea) 1,W06000011,Swansea,Abertawe,1513,498
W01000776,Gower (Swansea) 2,W06000011,Swansea,Abertawe,1611,499
W01000777,Gowerton 1,W06000011,Swansea,Abertawe,1722,500
W01000778,Gowerton 2,W06000011,Swansea,Abertawe,1525,501
W01000779,Gowerton 3,W06000011,Swansea,Abertawe,1147,502
W01000781,Killay North 2,W06000011,Swansea,Abertawe,1897,503
W01000627,Betws,W06000010,Carmarthenshire,Sir Gaerfyrddin,1026,504
W01000467,Llanidloes 2,W06000023,Powys,Powys,1536,505
W01000411,Ponciau 2,W06000006,Wrexham,Wrecsam,454,506
W01000412,Ponciau 3,W06000006,Wrexham,Wrecsam,893,507
W01000413,Queensway 1,W06000006,Wrexham,Wrecsam,9,508
W01000414,Queensway 2,W06000006,Wrexham,Wrecsam,80,509
W01000415,Rhosnesni 1,W06000006,Wrexham,Wrecsam,1535,510
W01000416,Rhosnesni 2,W06000006,Wrexham,Wrecsam,1892,511
W01000417,Rossett 1,W06000006,Wrexham,Wrecsam,1805,512
W01000418,Rossett 2,W06000006,Wrexham,Wrecsam,1415,513
W01000419,Ruabon 1,W06000006,Wrexham,Wrecsam,754,514
W01000420,Ruabon 2,W06000006,Wrexham,Wrecsam,1035,515
W01000422,Stansty,W06000006,Wrexham,Wrecsam,1286,516
W01000423,Whitegate 1,W06000006,Wrexham,Wrecsam,599,517
W01000424,Whitegate 2,W06000006,Wrexham,Wrecsam,931,518
W01000425,Wynnstay,W06000006,Wrexham,Wrecsam,45,519
W01000426,Aber-craf,W06000023,Powys,Powys,950,520
W01000427,Beguildy,W06000023,Powys,Powys,830,521
W01000428,Berriew,W06000023,Powys,Powys,1235,522
W01000429,Blaen Hafren,W06000023,Powys,Powys,1281,523
W01000430,Bronllys,W06000023,Powys,Powys,1319,524
W01000431,Builth 1,W06000023,Powys,Powys,1122,525
W01000432,Builth 2,W06000023,Powys,Powys,1626,526
W01000433,Caersws,W06000023,Powys,Powys,1094,527
W01000434,Churchstoke,W06000023,Powys,Powys,1047,528
W01000438,Disserth and Trecoed,W06000023,Powys,Powys,612,529
W01000439,Dolforwyn,W06000023,Powys,Powys,1432,530
W01000440,Felin-f̢ch,W06000023,Powys,Powys,1480,531
W01000441,Forden,W06000023,Powys,Powys,1561,532
W01000442,Glantwymyn,W06000023,Powys,Powys,1097,533
W01000443,Glasbury,W06000023,Powys,Powys,1461,534
W01000444,Guilsfield,W06000023,Powys,Powys,1545,535
W01000445,Gwernyfed,W06000023,Powys,Powys,1358,536
W01000446,Hay,W06000023,Powys,Powys,1578,537
W01000447,Kerry,W06000023,Powys,Powys,1259,538
W01000448,Knighton 1,W06000023,Powys,Powys,1161,539
W01000449,Knighton 2,W06000023,Powys,Powys,1417,540
W01000450,Llanafanfawr,W06000023,Powys,Powys,1307,541
W01000451,Llanbadarn Fawr,W06000023,Powys,Powys,1288,542
W01000452,Llanbrynmair & Banwy,W06000023,Powys,Powys,882,543
W01000453,Llandinam,W06000023,Powys,Powys,1263,544
W01000454,Llandrindod East/Llandrindod West,W06000023,Powys,Powys,378,545
W01000455,Llandrindod North,W06000023,Powys,Powys,769,546
W01000456,Llandrindod South,W06000023,Powys,Powys,701,547
W01000457,Llandrinio,W06000023,Powys,Powys,1368,548
W01000458,Llandysilio,W06000023,Powys,Powys,1399,549
W01000459,Llanelwedd,W06000023,Powys,Powys,1027,550
W01000460,Llanfair Caereinion,W06000023,Powys,Powys,1199,551
W01000461,Llanfyllin,W06000023,Powys,Powys,888,552
W01000464,Llangunllo,W06000023,Powys,Powys,1154,553
W01000465,Llangynidr,W06000023,Powys,Powys,1605,554
W01000576,Kilgetty/Begelly,W06000009,Pembrokeshire,Sir Benfro,928,555
W01000782,Killay South 1,W06000011,Swansea,Abertawe,1757,556
W01000470,Llansantffraid,W06000023,Powys,Powys,1313,557
W01000784,Kingsbridge 1,W06000011,Swansea,Abertawe,1469,558
W01000785,Kingsbridge 2,W06000011,Swansea,Abertawe,1851,559
W01000786,Kingsbridge 3,W06000011,Swansea,Abertawe,1636,560
W01000787,Landore 1,W06000011,Swansea,Abertawe,490,561
W01000788,Landore 2,W06000011,Swansea,Abertawe,230,562
W01000789,Landore 3,W06000011,Swansea,Abertawe,276,563
W01000790,Landore 4,W06000011,Swansea,Abertawe,363,564
W01000791,Llangyfelach 1,W06000011,Swansea,Abertawe,1749,565
W01000792,Llangyfelach 2,W06000011,Swansea,Abertawe,1806,566
W01000793,Llangyfelach 3,W06000011,Swansea,Abertawe,1765,567
W01000794,Llansamlet 1,W06000011,Swansea,Abertawe,1118,568
W01000795,Llansamlet 2,W06000011,Swansea,Abertawe,1547,569
W01000796,Llansamlet 3,W06000011,Swansea,Abertawe,1533,570
W01000797,Llansamlet 4,W06000011,Swansea,Abertawe,1431,571
W01000798,Llansamlet 5,W06000011,Swansea,Abertawe,1091,572
W01000799,Llansamlet 6,W06000011,Swansea,Abertawe,386,573
W01000800,Llansamlet 7,W06000011,Swansea,Abertawe,1664,574
W01000801,Llansamlet 8,W06000011,Swansea,Abertawe,179,575
W01000802,Lower Loughor,W06000011,Swansea,Abertawe,966,576
W01000803,Mawr,W06000011,Swansea,Abertawe,1029,577
W01000804,Mayals 1,W06000011,Swansea,Abertawe,1858,578
W01000805,Mayals 2,W06000011,Swansea,Abertawe,1906,579
W01000806,Morriston 1,W06000011,Swansea,Abertawe,1088,580
W01000807,Morriston 2,W06000011,Swansea,Abertawe,1618,581
W01000808,Morriston 3,W06000011,Swansea,Abertawe,1271,582
W01000809,Morriston 4,W06000011,Swansea,Abertawe,686,583
W01000810,Morriston 5,W06000011,Swansea,Abertawe,95,584
W01000811,Morriston 6,W06000011,Swansea,Abertawe,309,585
W01000812,Morriston 7,W06000011,Swansea,Abertawe,154,586
W01000813,Morriston 8,W06000011,Swansea,Abertawe,1250,587
W01000814,Morriston 9,W06000011,Swansea,Abertawe,205,588
W01000815,Morriston 10,W06000011,Swansea,Abertawe,1570,589
W01000816,Morriston 11,W06000011,Swansea,Abertawe,1677,590
W01000817,Mynyddbach 1,W06000011,Swansea,Abertawe,37,591
W01000818,Mynyddbach 2,W06000011,Swansea,Abertawe,467,592
W01000819,Mynyddbach 3,W06000011,Swansea,Abertawe,1589,593
W01000820,Mynyddbach 4,W06000011,Swansea,Abertawe,1021,594
W01000821,Mynyddbach 5,W06000011,Swansea,Abertawe,859,595
W01000822,Mynyddbach 6,W06000011,Swansea,Abertawe,1230,596
W01000823,Newton (Swansea) 1,W06000011,Swansea,Abertawe,1905,597
W01000824,Newton (Swansea) 2,W06000011,Swansea,Abertawe,1801,598
W01000825,Oystermouth 1,W06000011,Swansea,Abertawe,1719,599
W01000826,Oystermouth 2,W06000011,Swansea,Abertawe,1760,600
W01000827,Oystermouth 3,W06000011,Swansea,Abertawe,1826,601
W01000828,Penclawdd 1,W06000011,Swansea,Abertawe,1667,602
W01000829,Penclawdd 2,W06000011,Swansea,Abertawe,1255,603
W01000830,Penderry 1,W06000011,Swansea,Abertawe,31,604
W01000831,Penderry 2,W06000011,Swansea,Abertawe,147,605
W01000832,Penderry 3,W06000011,Swansea,Abertawe,22,606
W01000679,Llandovery 2,W06000010,Carmarthenshire,Sir Gaerfyrddin,1067,607
W01000577,Lampeter Velfrey,W06000009,Pembrokeshire,Sir Benfro,1289,608
W01000471,Llanwrtyd Wells,W06000023,Powys,Powys,1010,609
W01000472,Llanyre,W06000023,Powys,Powys,1436,610
W01000473,Machynlleth,W06000023,Powys,Powys,1240,611
W01000474,Maescar/Llywel,W06000023,Powys,Powys,1241,612
W01000475,Meifod & Llanfihangel,W06000023,Powys,Powys,1104,613
W01000476,Montgomery,W06000023,Powys,Powys,1577,614
W01000477,Nantmel,W06000023,Powys,Powys,1098,615
W01000478,Newtown Central 1,W06000023,Powys,Powys,412,616
W01000479,Newtown Central 2,W06000023,Powys,Powys,512,617
W01000480,Newtown East,W06000023,Powys,Powys,379,618
W01000481,Newtown Llanllwchaiarn North,W06000023,Powys,Powys,1470,619
W01000482,Newtown Llanllwchaiarn West,W06000023,Powys,Powys,1315,620
W01000483,Newtown South,W06000023,Powys,Powys,284,621
W01000484,Old Radnor,W06000023,Powys,Powys,1219,622
W01000485,Presteigne 1,W06000023,Powys,Powys,1380,623
W01000486,Presteigne 2,W06000023,Powys,Powys,1438,624
W01000487,Rhayader,W06000023,Powys,Powys,1068,625
W01000488,Rhiwcynon,W06000023,Powys,Powys,1304,626
W01000489,St. David Within,W06000023,Powys,Powys,1137,627
W01000492,St. Mary 1,W06000023,Powys,Powys,1063,628
W01000493,St. Mary 2,W06000023,Powys,Powys,1687,629
W01000494,Talgarth,W06000023,Powys,Powys,1341,630
W01000496,Tawe-Uchaf,W06000023,Powys,Powys,847,631
W01000497,Trewern,W06000023,Powys,Powys,1247,632
W01000498,Welshpool Castle,W06000023,Powys,Powys,292,633
W01000499,Welshpool Gungrog 1,W06000023,Powys,Powys,563,634
W01000500,Welshpool Gungrog 2,W06000023,Powys,Powys,1093,635
W01000501,Welshpool Llanerchyddol,W06000023,Powys,Powys,1125,636
W01000502,Ynyscedwyn,W06000023,Powys,Powys,1198,637
W01000503,Yscir,W06000023,Powys,Powys,1264,638
W01000504,Ystradgynlais 1,W06000023,Powys,Powys,117,639
W01000505,Ystradgynlais 2,W06000023,Powys,Powys,821,640
W01000506,Aberaeron,W06000008,Ceredigion,Ceredigion,1257,641
W01000507,Aberporth 1,W06000008,Ceredigion,Ceredigion,1213,642
W01000508,Aberporth 2,W06000008,Ceredigion,Ceredigion,871,643
W01000509,Aberteifi/Cardigan - Mwldan,W06000008,Ceredigion,Ceredigion,899,644
W01000510,Aberteifi/Cardigan - Rhyd-y-Fuwch,W06000008,Ceredigion,Ceredigion,370,645
W01000511,Aberteifi/Cardigan - Teifi,W06000008,Ceredigion,Ceredigion,125,646
W01000512,Aberystwyth Bronglais,W06000008,Ceredigion,Ceredigion,1546,647
W01000513,Aberystwyth Canol/Central,W06000008,Ceredigion,Ceredigion,784,648
W01000515,Aberystwyth Penparcau 1,W06000008,Ceredigion,Ceredigion,533,649
W01000516,Aberystwyth Penparcau 2,W06000008,Ceredigion,Ceredigion,594,650
W01000517,Aberystwyth Rheidol 1,W06000008,Ceredigion,Ceredigion,1014,651
W01000518,Aberystwyth Rheidol 2,W06000008,Ceredigion,Ceredigion,1045,652
W01000519,Beulah,W06000008,Ceredigion,Ceredigion,1115,653
W01000522,Capel Dewi,W06000008,Ceredigion,Ceredigion,790,654
W01000523,Ceulanamaesmawr,W06000008,Ceredigion,Ceredigion,1214,655
W01000578,Lamphey,W06000009,Pembrokeshire,Sir Benfro,1228,656
W01000680,Llandybie 1,W06000010,Carmarthenshire,Sir Gaerfyrddin,1303,657
W01000628,Bigyn 1,W06000010,Carmarthenshire,Sir Gaerfyrddin,1070,658
W01000681,Llandybie 2,W06000010,Carmarthenshire,Sir Gaerfyrddin,491,659
W01000682,Llanegwad 1,W06000010,Carmarthenshire,Sir Gaerfyrddin,1215,660
W01000683,Llanegwad 2,W06000010,Carmarthenshire,Sir Gaerfyrddin,648,661
W01000684,Llanfihangel Aberbythych,W06000010,Carmarthenshire,Sir Gaerfyrddin,1146,662
W01000685,Llanfihangel-ar-Arth 1,W06000010,Carmarthenshire,Sir Gaerfyrddin,673,663
W01000686,Llanfihangel-ar-Arth 2,W06000010,Carmarthenshire,Sir Gaerfyrddin,1108,664
W01000687,Llangadog,W06000010,Carmarthenshire,Sir Gaerfyrddin,883,665
W01000688,Llangeler 1,W06000010,Carmarthenshire,Sir Gaerfyrddin,546,666
W01000689,Llangeler 2,W06000010,Carmarthenshire,Sir Gaerfyrddin,1096,667
W01000690,Llangennech 1,W06000010,Carmarthenshire,Sir Gaerfyrddin,1283,668
W01000691,Llangennech 2,W06000010,Carmarthenshire,Sir Gaerfyrddin,1396,669
W01000692,Llangennech 3,W06000010,Carmarthenshire,Sir Gaerfyrddin,1188,670
W01000693,Llangunnor 1,W06000010,Carmarthenshire,Sir Gaerfyrddin,939,671
W01000694,Llangunnor 2,W06000010,Carmarthenshire,Sir Gaerfyrddin,1437,672
W01000695,Llangyndeyrn 1,W06000010,Carmarthenshire,Sir Gaerfyrddin,503,673
W01000696,Llangyndeyrn 2,W06000010,Carmarthenshire,Sir Gaerfyrddin,906,674
W01000697,Llannon 1,W06000010,Carmarthenshire,Sir Gaerfyrddin,890,675
W01000698,Llannon 2,W06000010,Carmarthenshire,Sir Gaerfyrddin,972,676
W01000629,Bigyn 2,W06000010,Carmarthenshire,Sir Gaerfyrddin,583,677
W01000699,Llannon 3,W06000010,Carmarthenshire,Sir Gaerfyrddin,1385,678
W01000579,Letterston,W06000009,Pembrokeshire,Sir Benfro,1185,679
W01000630,Bigyn 3,W06000010,Carmarthenshire,Sir Gaerfyrddin,810,680
W01000700,Llansteffan,W06000010,Carmarthenshire,Sir Gaerfyrddin,1237,681
W01000580,Llangwm,W06000009,Pembrokeshire,Sir Benfro,1555,682
W01000631,Bigyn 4,W06000010,Carmarthenshire,Sir Gaerfyrddin,84,683
W01000701,Llanybydder 1,W06000010,Carmarthenshire,Sir Gaerfyrddin,1024,684
W01000581,Llanrhian,W06000009,Pembrokeshire,Sir Benfro,1262,685
W01000632,Burry Port 1,W06000010,Carmarthenshire,Sir Gaerfyrddin,896,686
W01000702,Llanybydder 2,W06000010,Carmarthenshire,Sir Gaerfyrddin,854,687
W01000582,Maenclochog 1,W06000009,Pembrokeshire,Sir Benfro,873,688
W01000633,Burry Port 2,W06000010,Carmarthenshire,Sir Gaerfyrddin,443,689
W01000703,Lliedi 1,W06000010,Carmarthenshire,Sir Gaerfyrddin,499,690
W01000583,Maenclochog 2,W06000009,Pembrokeshire,Sir Benfro,1317,691
W01000634,Burry Port 3,W06000010,Carmarthenshire,Sir Gaerfyrddin,1220,692
W01000704,Lliedi 2,W06000010,Carmarthenshire,Sir Gaerfyrddin,1309,693
W01000584,Manorbier,W06000009,Pembrokeshire,Sir Benfro,1136,694
W01000635,Bynea 1,W06000010,Carmarthenshire,Sir Gaerfyrddin,1273,695
W01000705,Lliedi 3,W06000010,Carmarthenshire,Sir Gaerfyrddin,395,696
W01000585,Martletwy,W06000009,Pembrokeshire,Sir Benfro,1203,697
W01000636,Bynea 2,W06000010,Carmarthenshire,Sir Gaerfyrddin,728,698
W01000706,Llwynhendy 1,W06000010,Carmarthenshire,Sir Gaerfyrddin,693,699
W01000586,Merlin's Bridge,W06000009,Pembrokeshire,Sir Benfro,549,700
W01000637,Carmarthen Town North 1,W06000010,Carmarthenshire,Sir Gaerfyrddin,614,701
W01000707,Llwynhendy 2,W06000010,Carmarthenshire,Sir Gaerfyrddin,222,702
W01000587,Milford: Central,W06000009,Pembrokeshire,Sir Benfro,734,703
W01000638,Carmarthen Town North 2,W06000010,Carmarthenshire,Sir Gaerfyrddin,369,704
W01000708,Llwynhendy 3,W06000010,Carmarthenshire,Sir Gaerfyrddin,172,705
W01000588,Milford: East,W06000009,Pembrokeshire,Sir Benfro,298,706
W01000589,Milford: Hakin 1,W06000009,Pembrokeshire,Sir Benfro,684,707
W01000590,Milford: Hakin 2,W06000009,Pembrokeshire,Sir Benfro,933,708
W01000591,Milford: Hubberston 1,W06000009,Pembrokeshire,Sir Benfro,702,709
W01000592,Milford: Hubberston 2,W06000009,Pembrokeshire,Sir Benfro,254,710
W01000593,Milford: North,W06000009,Pembrokeshire,Sir Benfro,794,711
W01000594,Milford: West,W06000009,Pembrokeshire,Sir Benfro,310,712
W01000595,Narberth,W06000009,Pembrokeshire,Sir Benfro,1186,713
W01000596,Narberth Rural,W06000009,Pembrokeshire,Sir Benfro,1523,714
W01000597,Newport,W06000009,Pembrokeshire,Sir Benfro,1351,715
W01000598,Neyland: East,W06000009,Pembrokeshire,Sir Benfro,1142,716
W01000599,Neyland: West,W06000009,Pembrokeshire,Sir Benfro,852,717
W01000600,Pembroke Dock: Central,W06000009,Pembrokeshire,Sir Benfro,148,718
W01000601,Pembroke Dock: Llanion 1,W06000009,Pembrokeshire,Sir Benfro,62,719
W01000602,Pembroke Dock: Llanion 2,W06000009,Pembrokeshire,Sir Benfro,770,720
W01000603,Pembroke Dock: Market,W06000009,Pembrokeshire,Sir Benfro,746,721
W01000604,Pembroke Dock: Pennar 1,W06000009,Pembrokeshire,Sir Benfro,294,722
W01000605,Pembroke Dock: Pennar 2,W06000009,Pembrokeshire,Sir Benfro,631,723
W01000606,Pembroke: Monkton,W06000009,Pembrokeshire,Sir Benfro,85,724
W01000607,Pembroke: St. Mary North,W06000009,Pembrokeshire,Sir Benfro,399,725
W01000608,Pembroke: St. Mary South,W06000009,Pembrokeshire,Sir Benfro,640,726
W01000609,Pembroke: St. Michael,W06000009,Pembrokeshire,Sir Benfro,1538,727
W01000610,Penally,W06000009,Pembrokeshire,Sir Benfro,1400,728
W01000611,Rudbaxton,W06000009,Pembrokeshire,Sir Benfro,1443,729
W01000612,St. David's,W06000009,Pembrokeshire,Sir Benfro,1207,730
W01000613,St. Dogmaels,W06000009,Pembrokeshire,Sir Benfro,1031,731
W01000614,St. Ishmael's,W06000009,Pembrokeshire,Sir Benfro,941,732
W01000615,Saundersfoot 1,W06000009,Pembrokeshire,Sir Benfro,1452,733
W01000616,Saundersfoot 2,W06000009,Pembrokeshire,Sir Benfro,1430,734
W01000617,Scleddau,W06000009,Pembrokeshire,Sir Benfro,738,735
W01000618,Solva,W06000009,Pembrokeshire,Sir Benfro,1170,736
W01000619,Tenby: North,W06000009,Pembrokeshire,Sir Benfro,1284,737
W01000620,Tenby: South 1,W06000009,Pembrokeshire,Sir Benfro,1056,738
W01000621,Tenby: South 2,W06000009,Pembrokeshire,Sir Benfro,892,739
W01000622,The Havens,W06000009,Pembrokeshire,Sir Benfro,1414,740
W01000623,Wiston,W06000009,Pembrokeshire,Sir Benfro,1314,741
W01000624,Abergwili,W06000010,Carmarthenshire,Sir Gaerfyrddin,1398,742
