Location,Lat,Lng,Title,URL,Display,Source,Notes,Force,Force URL,Neighbourhood,Neighbourhood URL,Neighbourhood email,Created,ID,ISO 8601 Date
Holywell,53.276009,-3.225103,Holywell Coronavirus Support ,https://www.facebook.com/groups/215409109820854/,VISIBLE,facebook group,,North Wales Police,,Holywell Central,https://www.north-wales.police.uk/your-neighbourhood,,23/03/2020 15:27:50,2fece45a-e797-482d-b026-de317d381cb3,2020-03-23
"Hope, Caergwrle, Abermorddu, Cefn y Bedd, Flintshire ",53.104455,-3.033518,Hope-Caergwrle-Abermorddu-Cefn y Bedd Mutual Aid Group,https://www.facebook.com/groups/2425022358/,VISIBLE,facebook group,,North Wales Police,,Caergwrle,https://www.north-wales.police.uk/your-neighbourhood,,16/03/2020 07:46:03,9c45cbb0-ebb3-47e8-9a98-53898cb17861,2020-03-16
"Keeston, Pembrokeshire",51.8343579,-5.048172,Keeston Mutual Aid Group,https://www.facebook.com/groups/236700560819521/,VISIBLE,facebook group,,Dyfed-Powys Police,http://www.dyfed-powys.police.uk,Haverfordwest Rural,https://www.dyfed-powys.police.uk/en/your-area/pembrokeshire/haverfordwest-rural/,HaverfordwestNPT@dyfed-powys.pnn.police.uk,18/03/2020 08:09:59,13034949-c618-4bc7-9aee-a7276c979c2a,2020-03-18
"Kidwelly, UK",51.736261,-4.3074709,Crisial Davies,https://m.facebook.com/groups/2308489282784675,VISIBLE,facebook group,,Dyfed-Powys Police,http://www.dyfed-powys.police.uk,Llanelli Rural,https://www.dyfed-powys.police.uk/en/your-area/carmarthenshire/llanelli-rural/,LlanelliRuralNPT@Dyfed-powys.pnn.police.uk,4/4/2020 5:49:54,8ba8ba46-394c-4a30-bbae-b5f585bf705b,
Lampeter,52.112903,-4.078509,Lampeter Corona Virus Support Group COVID 19,https://www.facebook.com/groups/710463783094284/,VISIBLE,facebook group,,Dyfed-Powys Police,http://www.dyfed-powys.police.uk,Lampeter,https://www.dyfed-powys.police.uk/en/your-area/ceredigion/lampeter/,LampeterNPT@dyfed-powys.pnn.police.uk,16/03/2020 00:24:29,42686eae-6cf3-4e19-a740-a6a09e20afae,2020-03-16
LD8 2NW,52.2765714,-3.0593774,Discoed Covid-19 support group,https://www.facebook.com/groups/832092763952188/,VISIBLE,facebook group,,Dyfed-Powys Police,http://www.dyfed-powys.police.uk,Knighton,https://www.dyfed-powys.police.uk/en/your-area/powys/llandrindod-wells/knighton/,KnightonNPT@dyfed-powys.pnn.police.uk,18/03/2020 14:28:57,094f0245-15d7-482c-ad46-e5f4600e7ce1,2020-03-18
"Llanbedr, Gwynedd",52.8197179,-4.101435,Cymuned Llanbedr Community Eryri-Snowdonia,https://www.facebook.com/llanbedr/,VISIBLE,facebook group,,North Wales Police,,Llanbedr,https://www.north-wales.police.uk/your-neighbourhood,,24/03/2020 11:18:38,22d9ead9-1803-481a-8103-4248fdad6844,2020-03-24
Llanbrynmair ,52.6120696,-3.627605,Llanbrynmair Corona community response group,https://www.facebook.com/groups/1249103548633011/,VISIBLE,facebook group,,Dyfed-Powys Police,http://www.dyfed-powys.police.uk,Machynlleth,https://www.dyfed-powys.police.uk/en/your-area/powys/newtown/machynlleth/,MachynllethNPT@dyfed-powys.pnn.police.uk,16/03/2020 16:12:11,95b66ef5-d363-47df-9534-8b4a17c47b27,2020-03-16
Llandaff,51.4944589,-3.2239582,Llandaff Covid-19 Assistance,https://www.facebook.com/groups/235091941000376/about/,VISIBLE,facebook group,,South Wales Police,https://www.south-wales.police.uk,Llandaff,https://www.south-wales.police.uk/en/neighbourhood/cardiff/llandaff/,,16/03/2020 11:00:48,a8604ba4-06dd-41c1-acc0-a68c69d36d8c,2020-03-16
Llandeilo,51.88469,-3.99143,Llandeilo Covid-19 Community Support Group,https://www.facebook.com/groups/196451478462428/,VISIBLE,facebook group,,Dyfed-Powys Police,http://www.dyfed-powys.police.uk,Amman Towy,https://www.dyfed-powys.police.uk/en/your-area/carmarthenshire/amman-towy/,AmmanTowyNPT@dyfed-powys.pnn.police.uk,24/03/2020 16:46:42,656d7f56-875c-4dcd-b055-fa95578e573d,2020-03-24
"Llandogo, wye valley",51.733717,-2.6874798,Llandogo covid-19 mutual aid ,https://www.facebook.com/groups/639477593560528/,VISIBLE,facebook group,,Gwent Police,http://www.gwent.police.uk/,Trellech United,http://www.gwent.police.uk/nc/my-area/ward/MM/76/,monmouth@gwent.pnn.police.uk,25/03/2020 12:17:18,67cdf200-5461-4100-acb0-d9cf892e5fed,2020-03-25
"Llandough, Vale of Glamorgan",51.454881,-3.198786,Llandough Covid-19 Mutual Aid Group,https://www.facebook.com/groups/216736309441390/,VISIBLE,facebook group,,South Wales Police,https://www.south-wales.police.uk,Llandough,https://www.south-wales.police.uk/en/neighbourhood/vale-of-glamorgan/llandough/,,16/03/2020 00:34:41,aebbe695-7e5b-4b74-88d2-a097d2234095,2020-03-16
Llandrindod Wells,52.2417,-3.377742,Llandrindod Community Covid 19 Support,https://www.facebook.com/groups/204963444151360/,VISIBLE,facebook group,,Dyfed-Powys Police,http://www.dyfed-powys.police.uk,Llandrindod Town,https://www.dyfed-powys.police.uk/en/your-area/powys/llandrindod-wells/llandrindod-town/,LlandrindodTownNPT@dyfed-powys.pnn.police.uk,15/03/2020 12:21:05,ea0ee763-2610-4e2b-bfea-9375af6d40b6,2020-03-15
Llandudno,53.324061,-3.827609,Llandudno Covid-19 Action Network,https://www.facebook.com/groups/227054078418261/members/,VISIBLE,facebook group,,North Wales Police,,Mostyn,https://www.north-wales.police.uk/your-neighbourhood,,19/03/2020 00:50:39,4983dcb6-75fd-4d8f-921b-facf52ada3bc,2020-03-19
Llanelli,51.680886,-4.160248,Coronavirus Llanelli Support ,https://www.facebook.com/groups/299913577639565/,UPDATED,facebook group,,Dyfed-Powys Police,http://www.dyfed-powys.police.uk,Llanelli Town,https://www.dyfed-powys.police.uk/en/your-area/carmarthenshire/llanelli-town/,LlanelliTownNPT@dyfed-powys.pnn.police.uk,16/03/2020 11:54:02,0d5ebc08-9a6e-4242-8c4f-7e54e3e1fd3e,2020-03-16
"Llanfrothen, Gwynedd",52.951762,-4.051456,Y Garreg Groceries and Errands Hub,https://www.facebook.com/ygarreg/,VISIBLE,facebook group,,North Wales Police,,Penrhyndeudraeth,https://www.north-wales.police.uk/your-neighbourhood,,24/03/2020 13:13:33,6205e51b-e59d-4aae-beb4-bb3396c063fb,2020-03-24
Llangammarch,52.112489,-3.5553171,Llangammarch Community,https://nextdoor.co.uk/news_feed/,VISIBLE,nextdoor community,,Dyfed-Powys Police,http://www.dyfed-powys.police.uk,Llanwrtyd,https://www.dyfed-powys.police.uk/en/your-area/powys/llandrindod-wells/llanwrtyd/,LlanwrtydNPT@dyfed-powys.pnn.police.uk,20/03/2020 19:27:17,a07e6090-5863-4144-8190-4490d93db22c,2020-03-20
"Llanidloes, Powys",52.447794,-3.540195,Llanidloes COVID-19 Support Group,https://www.facebook.com/groups/228361681637895/,VISIBLE,facebook group,,Dyfed-Powys Police,http://www.dyfed-powys.police.uk,Llanidloes,https://www.dyfed-powys.police.uk/en/your-area/powys/newtown/llanidloes/,LlanidloesNPT@dyfed-powys.pnn.police.uk,16/03/2020 13:06:50,cc934f5e-1db2-4e55-8987-646cefdb7fc4,2020-03-16
Llanrhystud Ceredigion,52.305416,-4.144563,Llanrhystud Corona Virus Support,https://www.facebook.com/groups/2756775227769091/,VISIBLE,facebook group,,Dyfed-Powys Police,http://www.dyfed-powys.police.uk,Aberystwyth Rural South,https://www.dyfed-powys.police.uk/en/your-area/ceredigion/aberystwyth-rural-south/,AberystwythNPT@dyfed-powys.pnn.police.uk,22/03/2020 21:40:13,8f7977b6-259c-4d5f-b7d8-10ea3e1ca589,2020-03-22
Llansilin Powys ,52.8458558,-3.1755584,Llansillin Community Volunteers ,https://www.facebook.com/groups/609619539622604/,VISIBLE,facebook group,,Dyfed-Powys Police,http://www.dyfed-powys.police.uk,Llanfyllin,https://www.dyfed-powys.police.uk/en/your-area/powys/welshpool/llanfyllin/,LlanfyllinNPT@dyfed-powys.pnn.police.uk,22/03/2020 09:37:33,cff5c69f-147e-4479-ba67-81dcf9e2c010,2020-03-22
"Llanwyddelan, Adfa, Cefn Coch, Llanllugan",52.5978402,-3.3901182,HIlltop Helpers,https://www.facebook.com/search/posts/,NOT GROUP,facebook group,,Dyfed-Powys Police,http://www.dyfed-powys.police.uk,Newtown Rural,https://www.dyfed-powys.police.uk/en/your-area/powys/newtown/newtown-rural/,NewtownRuralNPT@dyfed-powys.pnn.police.uk,20/03/2020 17:14:27,510b9486-50e9-44bd-af56-cc4d03ce10f8,2020-03-20
"Llanymynech, SY22https",52.7813159,-3.09031,Llanymynech Covid 19 Support Group,https://www.facebook.com/groups/207094913840556/,VISIBLE,facebook group,,Dyfed-Powys Police,http://www.dyfed-powys.police.uk,Welshpool Rural,https://www.dyfed-powys.police.uk/en/your-area/powys/welshpool/welshpool-rural/,WelshpoolRuralNPT@dyfed-powys.pnn.police.uk,16/03/2020 20:31:09,00f883e6-e9ec-4cb6-b094-a7b32e5cefb6,2020-03-16
"Machynlleth, Powys",52.590273,-3.853485, Machynlleth Corona Community Response,https://www.facebook.com/machcoronaresponse/,VISIBLE,facebook group,,Dyfed-Powys Police,http://www.dyfed-powys.police.uk,Machynlleth,https://www.dyfed-powys.police.uk/en/your-area/powys/newtown/machynlleth/,MachynllethNPT@dyfed-powys.pnn.police.uk,15/03/2020 15:34:32,7d740a72-cd10-4ee0-a4d4-996d43c9fcb2,2020-03-15
Magor and Undy,51.5815849,-2.829734,Magor and Undy Covid 19 community support,https://www.facebook.com/groups/514505086140350/,VISIBLE,facebook group,,Gwent Police,http://www.gwent.police.uk/,Mill,http://www.gwent.police.uk/nc/my-area/ward/MS/82/,severnside@gwent.pnn.police.uk,15/03/2020 22:09:15,7a731cc2-d43e-4ba5-97ef-835c09e4ae20,2020-03-15
"Marchog Ward, Bangor",53.22739,-4.129263,Maes G Corona Virus Support Group (Marchog),https://www.facebook.com/maes-g-corona-virus-support-group-166216060559730,VISIBLE,facebook group,,North Wales Police,,Garth,https://www.north-wales.police.uk/your-neighbourhood,,19/03/2020 19:19:08,39888c3e-d7dc-4713-ab80-10636bdab8d5,2020-03-19
"Marloes, Pembrokeshire",51.731548,-5.197859,Marloes & St Brides Covid-19 Support Group,https://api.whatsapp.com/send,URL BROKEN,website,Broken whatsapp link,,,,,,18/03/2020 18:46:49,c27c3ac1-5d29-4254-bda0-b839ecf2538e,2020-03-18
"Marloes, Pwmbrokeshire",51.731548,-5.197859,Marloes & St Brides Support,https://m.facebook.com/etruelove85,NOT GROUP,facebook group,,,,,,,18/03/2020 18:10:23,45a73e57-8fa3-4b2a-a2fa-6638bcb71a1f,2020-03-18
"Melbourne Road & Georgian Way, Llanishen, Cardiff, UK, CF14 5NH ",51.5292747,-3.1839772,Melbourne & Georgian Mutual Aid Group,https://www.facebook.com/groups/2473944462936303/,VISIBLE,facebook group,,South Wales Police,https://www.south-wales.police.uk,Llanishen,https://www.south-wales.police.uk/en/neighbourhood/cardiff/llanishen/,,18/03/2020 22:56:38,242cceb7-777f-43b5-8a8d-e49f886f992c,2020-03-18
"Melin area of Neath, Neath Port Talbot",51.6503611,-3.813692,Melin Covid-19 Support Group,https://www.facebook.com/groups/210846583484922/,VISIBLE,facebook group,,South Wales Police,https://www.south-wales.police.uk,Neath East,https://www.south-wales.police.uk/en/neighbourhood/neath-port-talbot/neath-east/,,22/03/2020 23:41:48,43085f1b-63fa-463c-b619-ad94564e67f6,2020-03-22
"Merches Gardens, Cardiff CF11 6RE, UK",51.4740745,-3.1848843,Grangetown Community Volunteers,http://www.grangetowncardiff.co.uk,VISIBLE,website,,South Wales Police,https://www.south-wales.police.uk,Grangetown,https://www.south-wales.police.uk/en/neighbourhood/cardiff/grangetown/,,4/2/2020 9:33:09,4513cbe4-bc4f-466a-90ee-f278ceb51fe1,
Merthyr Tydfil,51.74873,-3.381646,Merthyr Covid-19 Mutual Aid Network,https://m.facebook.com/story.php,URL BROKEN,facebook group,,South Wales Police,https://www.south-wales.police.uk,Park,https://www.south-wales.police.uk/en/neighbourhood/merthyr-tydfil/park/,,16/03/2020 12:02:40,e4137205-01ec-4396-99de-c585b94089f1,2020-03-16
Miskin Pontyclun RCT,51.519734,-3.376597,Miskin Community Friends,https://www.facebook.com/groups/606150183563118/,VISIBLE,facebook group,,South Wales Police,https://www.south-wales.police.uk,Pont-y-Clun,https://www.south-wales.police.uk/en/neighbourhood/rhondda-cynon-taf/pont-y-clun/,,23/03/2020 19:21:57,754f3cc0-f3c0-4d80-a1e3-906511d984cc,2020-03-23
Monmouth,51.8116533,-2.7163045,Monmouth Self Isolation Support,https://www.facebook.com/groups/928145774269826/,UPDATED,facebook group,,Gwent Police,http://www.gwent.police.uk/,Drybridge,http://www.gwent.police.uk/nc/my-area/ward/MM/72/,monmouth@gwent.pnn.police.uk,22/03/2020 00:41:50,9c729095-5ec3-4799-b9ea-3b35f8e65781,2020-03-22
Narberth Pembrokeshire Wales,51.799763,-4.744008,Covid-19 Mutual Aid Pembrokeshire,https://www.facebook.com/groups/201405821115376/,VISIBLE,facebook group,,Dyfed-Powys Police,http://www.dyfed-powys.police.uk,Narberth,https://www.dyfed-powys.police.uk/en/your-area/pembrokeshire/narberth/,TenbyNPT@dyfed-powys.pnn.police.uk,16/03/2020 19:54:00,02aae29c-f17e-4cce-b10e-a01fbd155b5b,2020-03-16
Neath,51.656991,-3.805476,Covid 19 Neath & Skewen Support Group,https://www.facebook.com/groups/222051098944405/,VISIBLE,facebook group,,South Wales Police,https://www.south-wales.police.uk,Neath East,https://www.south-wales.police.uk/en/neighbourhood/neath-port-talbot/neath-east/,,16/03/2020 20:00:39,d631b4bc-b58c-456f-9ca7-81e8ab38938d,2020-03-16
Neath,51.656991,-3.805476,St Joseph's R C Parish community support,https://m.facebook.com/groups/209998053550815/,VISIBLE,facebook group,,South Wales Police,https://www.south-wales.police.uk,Neath East,https://www.south-wales.police.uk/en/neighbourhood/neath-port-talbot/neath-east/,,18/03/2020 18:50:48,e88a6c3c-f9ee-42e7-be46-875513b28e9c,2020-03-18
Neath North,51.66146,-3.80718,Neath North Residents Covid-19 Support Group,https://www.facebook.com/groups/448708435776204/,VISIBLE,facebook group,,South Wales Police,https://www.south-wales.police.uk,Neath North,https://www.south-wales.police.uk/en/neighbourhood/neath-port-talbot/neath-north/,,23/03/2020 18:16:36,5b729aa3-d242-4f41-b7d6-3b74aa8777a1,2020-03-23
"New Inn, Pontypool, UK",51.690116,-3.009919,New Inn Corona Virus Community Support,https://www.facebook.com/groups/2533872780158819/,VISIBLE,facebook group,,Gwent Police,http://www.gwent.police.uk/,New Inn,http://www.gwent.police.uk/nc/my-area/ward/TP/132/,pontypool@gwent.pnn.police.uk,4/2/2020 18:31:30,8e989f15-b792-49f8-9f95-322db76313a8,
Newport Pembrokeshire,52.015656,-4.834944,Newport Trefdraeth Corona virus help,https://www.facebook.com/groups/190760015690311/,VISIBLE,facebook group,,Dyfed-Powys Police,http://www.dyfed-powys.police.uk,"Crymych, St Dogmaels and Cilgerran",https://www.dyfed-powys.police.uk/en/your-area/pembrokeshire/crymych-st-dogmaels-and-cilgerran/,FishguardNPT@dyfed-powys.pnn.police.uk,27/03/2020 12:44:04,a94dd3d6-3f12-4f88-be21-58846bffdae8,2020-03-27
"Newport, South Wales",51.584151,-2.997664,Covid-19 mutual aid Newport group,https://www.facebook.com/groups/covid19newport,VISIBLE,facebook group,,Gwent Police,http://www.gwent.police.uk/,Stow Hill,http://www.gwent.police.uk/nc/my-area/ward/NC/106/,newportcitycentre@gwent.pnn.police.uk,18/03/2020 16:35:04,c71fe750-160c-4af5-8201-dc1739765b56,2020-03-18
"Newport, UK",51.584151,-2.997664,Little Helpers ,https://www.facebook.com/groups/1033525720366303,VISIBLE,facebook group,,Gwent Police,http://www.gwent.police.uk/,Stow Hill,http://www.gwent.police.uk/nc/my-area/ward/NC/106/,newportcitycentre@gwent.pnn.police.uk,4/4/2020 22:16:30,98610194-11e8-46ca-aed8-0e5690eca3f2,
"Newtown, Powys.",52.512112,-3.313106,Newtown Powys COVID-19 Mutual Aid,https://www.facebook.com/groups/671541386934532/,VISIBLE,facebook group,,Dyfed-Powys Police,http://www.dyfed-powys.police.uk,Newtown,https://www.dyfed-powys.police.uk/en/your-area/powys/newtown/newtown/,NewtownNPT@dyfed-powys.pnn.police.uk,15/03/2020 11:24:15,d055d8f6-0b2b-4566-8ef5-f3dcc32a41af,2020-03-15
"Neyland, Pembrokeshire, Wales",51.704948,-4.948318,Neyland Community Group,https://www.facebook.com/groups/291684121800143/,VISIBLE,facebook group,,Dyfed-Powys Police,http://www.dyfed-powys.police.uk,Milford Haven Rural,https://www.dyfed-powys.police.uk/en/your-area/pembrokeshire/milford-haven-rural/,MilfordHavenNPT@dyfed-powys.pnn.police.uk,25/03/2020 18:43:04,4bd1a756-e72b-4dff-b006-334ed688caf8,2020-03-25
North Wales ,53.0711149,-3.8080783,Covid 19 support Ewloe Hawarden and surrounding areas ,https://m.facebook.com/groups/234086787726824,VISIBLE,facebook group,,North Wales Police,,Betws-y-Coed,https://www.north-wales.police.uk/your-neighbourhood,,21/03/2020 21:32:54,b69af158-047f-492c-a12d-b58eedce970f,2020-03-21
"Overland Road, The Mumbles, Swansea",51.5725616,-4.0015211,Overland Road Support Group,https://www.facebook.com/groups/2592923680922293/,VISIBLE,facebook group,,South Wales Police,https://www.south-wales.police.uk,Oystermouth,https://www.south-wales.police.uk/en/neighbourhood/swansea/oystermouth/,,17/03/2020 10:47:40,6dd98e06-90a8-4e5e-9d50-749a95d43789,2020-03-17
"Overton, Penley, and South Wrexham",52.953762,-2.869917,South Wrexham Community Reponse: Covid-19,https://www.facebook.com/communitywellbeingservice/,VISIBLE,facebook group,,North Wales Police,,Overton,https://www.north-wales.police.uk/your-neighbourhood,,19/03/2020 16:23:52,dae298f3-d4c6-403f-8a5a-4ecff735096c,2020-03-19
"Oxtens, Coed Eva, Cwmbran NP44 4TP, UK",51.6383111,-3.0427797,Coed Eva Community - Covid 19 Support,https://www.facebook.com/groups/475764279184930/,VISIBLE,facebook group,,Gwent Police,http://www.gwent.police.uk/,Coed Eva,http://www.gwent.police.uk/nc/my-area/ward/TC/116/,cwmbran@gwent.pnn.police.uk,4/4/2020 8:56:15,6a2d96fc-734b-48ba-b836-d8af249c3eab,
"Pantydwr & St. Harmon and surrounding, Powys, Mid Wales",52.363217,-3.493398,Pantydwr & St. Harmon Covid-19 (Coronavirus) Support,https://www.facebook.com/groups/2795761487209038/,VISIBLE,facebook group,,Dyfed-Powys Police,http://www.dyfed-powys.police.uk,Rhayader,https://www.dyfed-powys.police.uk/en/your-area/powys/llandrindod-wells/rhayader/,RhayaderNPT@dyfed-powys.pnn.police.uk,16/03/2020 13:40:11,9a2ae137-de26-459a-835a-8243cb723026,2020-03-16
"Pembroke, Wales, UK",51.674043,-4.908637,Pembroke Needs You,https://www.facebook.com/groups/688508338555798/,VISIBLE,facebook group,,Dyfed-Powys Police,http://www.dyfed-powys.police.uk,Pembroke,https://www.dyfed-powys.police.uk/en/your-area/pembrokeshire/pembroke/,PembrokeDockNPT@dyfed-powys.pnn.police.uk,25/03/2020 18:42:24,6ed87563-47bf-4390-9467-fdd43927281c,2020-03-25
Penarth ,51.438798,-3.173507,Helping Hands ,https://m.facebook.com/groups/207933657118081,VISIBLE,facebook group,,South Wales Police,https://www.south-wales.police.uk,St. Augustine&amp;#8217;s (Penarth),https://www.south-wales.police.uk/en/neighbourhood/vale-of-glamorgan/st-augustines/,,27/03/2020 14:51:46,d2553917-ee52-4458-b18e-12d87e5b567d,2020-03-27
"Penclawdd, Swansea",51.6419,-4.100126,facebook.com/julia.okeeffe.731,https://www.facebook.com/julia.okeeffe.731/timeline,VISIBLE,facebook group,,South Wales Police,https://www.south-wales.police.uk,Penclawdd,https://www.south-wales.police.uk/en/neighbourhood/swansea/penclawdd/,,18/03/2020 12:47:41,cf71d605-9b6b-4e10-96f0-f87e77dfb775,2020-03-18
"Pencoed, South Wales CF35 ",51.521087,-3.49837,Pencoed Coronavirus Support Group,https://www.facebook.com/groups/894214391009594/about/,VISIBLE,facebook group,,South Wales Police,https://www.south-wales.police.uk,Felindre,https://www.south-wales.police.uk/en/neighbourhood/bridgend/felindre/,,16/03/2020 15:15:33,5b7bff53-faef-463e-a5b2-872fee405a0f,2020-03-16
"Peniel, Carmarthenshire",51.893999,-4.2751011,Cymorth Coronavirus Peniel,https://www.facebook.com/groups/1541237276042265/,VISIBLE,facebook group,,Dyfed-Powys Police,http://www.dyfed-powys.police.uk,Carmarthen,https://www.dyfed-powys.police.uk/en/your-area/carmarthenshire/carmarthen/,CarmarthenTownNPT@dyfed-powys.pnn.police.uk,27/03/2020 15:21:53,9f180798-759b-4f16-8afb-5faf77fe9a3e,2020-03-27
Penmachno,53.039249,-3.79964,Grŵp Cefnogi Penmachno Support Group (coronavirus),https://www.facebook.com/groups/penmachno.coronavirus/,VISIBLE,facebook group,,North Wales Police,,Uwch Conwy,https://www.north-wales.police.uk/your-neighbourhood,,17/03/2020 11:04:11,547530ef-aa90-4e87-abdb-1ad11b86b0ca,2020-03-17
"Penmaenmawr, Dwygyfylchi & Llanfairfechan, ",53.277707,-3.896686,Happy Helpers,https://www.facebook.com/groups/201798667713015/,VISIBLE,facebook group,,North Wales Police,,Capelulo,https://www.north-wales.police.uk/your-neighbourhood,,16/03/2020 14:33:36,c45d39cf-fc92-4203-8a93-f7cb732a8df1,2020-03-16
Penpedairheol South Wales ,51.6685147,-3.2410141,PENPEDAIRHEOL COVID-19 SELF ISOLATION HELP FOR THE VULNERABLE ,https://www.facebook.com/groups/577390389529582/,VISIBLE,facebook group,,Gwent Police,http://www.gwent.police.uk/,St Cattwg,http://www.gwent.police.uk/nc/my-area/ward/CB/5/,bargoed@gwent.pnn.police.uk,17/03/2020 13:15:59,b7adabfe-64da-4620-92fb-b08f1d423af4,2020-03-17
"Penrhyn Avenue, Bangor LL57 1LT, UK",53.2222082,-4.1172599,MaesG Coronavirus Supprt Group,https://www.facebook.com/maes-g-corona-virus-support-group-166216060559730/,VISIBLE,facebook group,,North Wales Police,,Marchog,https://www.north-wales.police.uk/your-neighbourhood,,3/30/2020 10:53:27,e9f27521-9e82-4962-afe2-aa2ce360efd2,2020-03-30
Pontyates Carmarthenshire Wales,51.754874,-4.220686,pontyates noticeboard,https://www.facebook.com/groups/pontyateshelp/,VISIBLE,facebook group,,Dyfed-Powys Police,http://www.dyfed-powys.police.uk,Llanelli Rural,https://www.dyfed-powys.police.uk/en/your-area/carmarthenshire/llanelli-rural/,LlanelliRuralNPT@Dyfed-powys.pnn.police.uk,20/03/2020 21:56:45,f1ec907e-1b37-436a-9db8-4530ee7f886f,2020-03-20
"Pontyclun, Rhondda Cynon Taf",51.521579,-3.393295,Love Spreads <3,https://www.facebook.com/groups/2993394010768817/,VISIBLE,facebook group,,South Wales Police,https://www.south-wales.police.uk,Pont-y-Clun,https://www.south-wales.police.uk/en/neighbourhood/rhondda-cynon-taf/pont-y-clun/,,16/03/2020 12:32:58,ce4f5bb1-de9e-4710-9009-c8d70433d332,2020-03-16
Pontypool Torfaen ,51.700369,-3.045268,Pontypool covid19  help group ,https://www.facebook.com/groups/562773531254475/,VISIBLE,facebook group,,Gwent Police,http://www.gwent.police.uk/,Brynwern,http://www.gwent.police.uk/nc/my-area/ward/TP/130/,pontypool@gwent.pnn.police.uk,16/03/2020 00:05:08,5b268edb-848b-4a50-b2bf-18fb6995ea4b,2020-03-16
"Pontypool, South Wales",51.700369,-3.045268,Pontypool Covid-19 Help Group,https://docs.google.com/forms/d/e/1faipqlsdjrgqhazomhdsjdg3nnye30ys7szel-apcrqh80d1g-iqrgq/viewform,HTTP 404,,,,,,,,18/03/2020 16:08:41,cbfca361-a464-4dfc-8e0d-3ee361aa0a2e,2020-03-18
Porth ,51.613554,-3.407184,Spectacle Theatre Ltd ,http://www.spectacletheatre.co.uk,VISIBLE,website,,South Wales Police,https://www.south-wales.police.uk,Porth,https://www.south-wales.police.uk/en/neighbourhood/rhondda-cynon-taf/porth/,,24/03/2020 12:21:26,952a5503-372d-42d5-8604-bfd637bf9d9c,2020-03-24
Porthcawl,51.478968,-3.705163,Porthcawl COVID 19 Strategy Group,https://porthcawlc19s.weebly.com,UPDATED,website,,South Wales Police,https://www.south-wales.police.uk,Porthcawl West,https://www.south-wales.police.uk/en/neighbourhood/bridgend/porthcawl-west/,,23/03/2020 19:28:45,c81b4c41-d39a-4cb6-92dc-1cf1481b9560,2020-03-23
Prestatyn,53.336512,-3.407613,Covid-19 Community Response - Prestatyn,https://www.facebook.com/groups/2716349328462604/,VISIBLE,facebook group,,North Wales Police,,Prestatyn North,https://www.north-wales.police.uk/your-neighbourhood,,18/03/2020 00:38:52,a1d66b0c-c0e0-455e-ab12-9888defd5e32,2020-03-18
Prestatyn and Rhyl ,53.319141,-3.491634,Prestatyn and Rhyl Covid-19 Mutual Aid Group,https://www.facebook.com/100004856688012/posts/1367828646722345/,URL BROKEN,facebook group,Not available.,North Wales Police,,Rhyl West,https://www.north-wales.police.uk/your-neighbourhood,,15/03/2020 14:21:00,83ebf783-172d-4ce9-921a-0c521e98f06d,2020-03-15
"Presteigne, UK",52.272031,-3.005157,Presteigne & Norton Coronavirus Community Response,https://www.facebook.com/presteigne-norton-community-covid-19-support-101948184783706/,VISIBLE,facebook group,,Dyfed-Powys Police,http://www.dyfed-powys.police.uk,Presteigne,https://www.dyfed-powys.police.uk/en/your-area/powys/llandrindod-wells/presteigne/,PresteigneNPT@dyfed-powys.pnn.police.uk,4/3/2020 12:41:30,5ada106c-8f98-4c93-b6d1-969708a2be08,
"R.c.t  Gilfach goch,  south wales",51.592092,-3.472872,Gilfach goch coronavirus help group,https://www.facebook.com/0778angie,VISIBLE,facebook group,,South Wales Police,https://www.south-wales.police.uk,Gilfach Goch,https://www.south-wales.police.uk/en/neighbourhood/rhondda-cynon-taf/gilfach-goch/,,27/03/2020 05:36:39,56ff85ec-f49d-4b16-906f-70fdbb6b6901,2020-03-27
Raglan,51.7647959,-2.852011,Raglan Covid-19 Assistance,https://m.facebook.com/groups/177251319141603,VISIBLE,facebook group,,Gwent Police,http://www.gwent.police.uk/,Raglan,http://www.gwent.police.uk/nc/my-area/ward/MU/93/,usk@gwent.pnn.police.uk,16/03/2020 00:28:35,6cd2af89-bb66-4d73-a9d1-b1dc70b8b9ef,2020-03-16
"Rhayader, Powys",52.301537,-3.510641,Rhayader Covid-19 Support Network,https://www.facebook.com/rhayader-covid-19-support-network-102898501351327/,VISIBLE,facebook group,,Dyfed-Powys Police,http://www.dyfed-powys.police.uk,Rhayader,https://www.dyfed-powys.police.uk/en/your-area/powys/llandrindod-wells/rhayader/,RhayaderNPT@dyfed-powys.pnn.police.uk,18/03/2020 12:59:42,fae45476-e0be-461c-bb5b-5dc3246a0f23,2020-03-18
Rhondda Cynon Taff RCT,51.6490207,-3.4288692,Stay Connected Telephone Befriending Network,https://www.facebook.com/mhmwales,VISIBLE,facebook group,,South Wales Police,https://www.south-wales.police.uk,Tylorstown,https://www.south-wales.police.uk/en/neighbourhood/rhondda-cynon-taf/tylorstown/,,26/03/2020 10:53:39,b1bf77e2-887e-41cb-b84e-a06f7486dd58,2020-03-26
