LSOA11CD,LSOA11NM,wimd_2019
W01001715,Cardiff 035B,1473
W01001794,Cardiff 001C,1824
W01001795,Cardiff 002B,1883
W01001792,Cardiff 005B,580
W01000879,Swansea 029A,1893
W01001924,Carmarthenshire 026H,68
W01000133,Conwy 002A,1694
W01001668,Newport 010D,183
W01000231,Denbighshire 017A,782
W01000005,Isle of Anglesey 005A,1065
W01001025,Bridgend 003D,655
W01000602,Pembrokeshire 013C,770
W01000756,Swansea 017B,229
W01001891,Cardiff 020C,1322
W01001088,The Vale of Glamorgan 006C,874
W01001798,Cardiff 002D,1791
W01000635,Carmarthenshire 025A,1273
W01000576,Pembrokeshire 011D,928
W01000634,Carmarthenshire 021C,1220
W01000888,Neath Port Talbot 004A,1227
W01000809,Swansea 008A,686
W01000889,Neath Port Talbot 015A,1133
W01000808,Swansea 003C,1271
W01000632,Carmarthenshire 021A,896
W01001769,Cardiff 018A,1891
W01001768,Cardiff 044E,240
W01001399,Caerphilly 023E,1340
W01000257,Flintshire 015C,1831
W01000608,Pembrokeshire 015D,640
W01001171,Rhondda Cynon Taf 017A,742
W01000604,Pembrokeshire 013E,294
W01000616,Pembrokeshire 011F,1430
W01001692,Newport 011E,178
W01000816,Swansea 003F,1677
W01000897,Neath Port Talbot 013D,263
W01000647,Carmarthenshire 002A,910
W01001919,Bridgend 017F,1902
W01001918,Bridgend 017E,1894
W01000895,Neath Port Talbot 013B,233
W01000390,Wrexham 020C,1359
W01000311,Flintshire 011A,1274
W01000391,Wrexham 003D,1347
W01000310,Flintshire 020D,1476
W01000392,Wrexham 003E,383
W01000313,Flintshire 016A,1211
W01000312,Flintshire 011B,876
W01000393,Wrexham 009C,962
W01001087,The Vale of Glamorgan 006B,1735
W01001644,Newport 013C,778
W01001645,Newport 015D,620
W01000639,Carmarthenshire 007C,743
W01000291,Flintshire 005B,1279
W01001429,Caerphilly 001F,473
W01000213,Denbighshire 002A,400
W01000292,Flintshire 004C,469
W01000293,Flintshire 004D,678
W01000210,Denbighshire 016E,1318
W01001893,Cardiff 010B,1265
W01001081,The Vale of Glamorgan 007A,142
W01001639,Newport 004A,1702
W01001638,Newport 016C,1871
W01000781,Swansea 023B,1897
W01000700,Carmarthenshire 027G,1237
W01001488,Torfaen 001B,252
W01001489,Torfaen 001C,462
W01001408,Caerphilly 016B,447
W01000701,Carmarthenshire 001C,1024
W01001409,Caerphilly 016C,1387
W01001613,Newport 011C,1039
W01001251,Rhondda Cynon Taf 024C,87
W01001682,Newport 006C,561
W01000074,Gwynedd 013B,1254
W01001521,Torfaen 007C,788
W01001414,Caerphilly 008A,280
W01000501,Powys 003D,1125
W01000740,Swansea 014C,1158
W01000741,Swansea 014D,355
W01001448,Blaenau Gwent 002C,565
W01000553,Pembrokeshire 011A,1079
W01000911,Neath Port Talbot 009C,1630
W01000552,Ceredigion 011D,1270
W01000999,Bridgend 010A,518
W01000931,Neath Port Talbot 020E,617
W01000930,Neath Port Talbot 011D,210
W01000933,Neath Port Talbot 019B,1487
W01001579,Monmouthshire 001E,1425
W01001578,Monmouthshire 009C,1560
W01001807,Cardiff 007B,75
W01001886,Cardiff 016D,97
W01001806,Cardiff 015D,1013
W01001887,Cardiff 020A,1864
W01000959,Neath Port Talbot 017E,1092
W01001885,Cardiff 011D,402
W01000824,Swansea 031B,1801
W01001923,Carmarthenshire 026G,553
W01000138,Conwy 008A,616
W01001778,Cardiff 001B,1837
W01000547,Ceredigion 009G,1321
W01001642,Newport 013A,373
W01001643,Newport 013B,171
W01000866,Swansea 019E,41
W01000867,Swansea 019F,58
W01000864,Swansea 019C,32
W01000865,Swansea 019D,362
W01000862,Swansea 019A,18
W01000863,Swansea 019B,16
W01000255,Flintshire 015A,1478
W01001022,Bridgend 014B,118
W01000730,Carmarthenshire 018D,543
W01000199,Denbighshire 011C,519
W01001041,Bridgend 013C,1721
W01001048,Bridgend 008B,1529
W01001043,Bridgend 004E,406
W01001040,Bridgend 009F,1312
W01001045,Bridgend 019D,510
W01001042,Bridgend 004D,526
W01001047,Bridgend 018D,1364
W01001044,Bridgend 019C,671
W01001049,Bridgend 008C,267
W01001336,Caerphilly 004A,538
W01000676,Carmarthenshire 004A,1446
W01000677,Carmarthenshire 004B,741
W01001659,Newport 018A,21
W01001658,Newport 020D,1522
W01000715,Carmarthenshire 013E,1544
W01000795,Swansea 006A,1547
W01000714,Carmarthenshire 013D,494
W01000796,Swansea 006B,1533
W01000717,Carmarthenshire 016E,824
W01000581,Pembrokeshire 003B,1262
W01000797,Swansea 010B,1431
W01000716,Carmarthenshire 016D,1209
W01000794,Swansea 010A,1118
W01000765,Swansea 015C,719
W01000764,Swansea 015B,732
W01000767,Swansea 015E,417
W01000766,Swansea 015D,1057
W01000762,Swansea 013C,207
W01000488,Powys 006C,1304
W01000489,Powys 017A,1137
W01000409,Wrexham 017E,99
W01000408,Wrexham 013D,846
W01000840,Swansea 030D,1898
W01000423,Wrexham 012D,599
W01000422,Wrexham 008F,1286
W01000425,Wrexham 010E,45
W01000134,Conwy 015B,1000
W01000420,Wrexham 016E,1035
W01000881,Swansea 029C,461
W01001731,Cardiff 008B,1780
W01000800,Swansea 006C,1664
W01000803,Swansea 002F,1029
W01001730,Cardiff 008A,1850
W01001733,Cardiff 019B,1818
W01000882,Swansea 029D,591
W01000801,Swansea 006D,179
W01000880,Swansea 029B,1750
W01001799,Cardiff 001D,1796
W01001718,Cardiff 028A,895
W01001719,Cardiff 028B,1422
W01001761,Cardiff 046C,219
W01001760,Cardiff 046B,666
W01001420,Caerphilly 022D,1496
W01001423,Caerphilly 024B,1552
W01001422,Caerphilly 022F,113
W01001421,Caerphilly 022E,3
W01000216,Denbighshire 002D,572
W01000086,Gwynedd 008B,748
W01000786,Swansea 007C,1636
W01000707,Carmarthenshire 025D,222
W01001482,Torfaen 002A,311
W01001403,Caerphilly 011C,1007
W01000322,Flintshire 014E,1484
W01001255,Rhondda Cynon Taf 023E,185
W01001687,Newport 014D,135
W01000195,Denbighshire 012A,1870
W01000586,Pembrokeshire 006C,549
W01001469,Blaenau Gwent 005F,138
W01001288,Rhondda Cynon Taf 014G,131
W01001289,Merthyr Tydfil 006A,483
W01001208,Rhondda Cynon Taf 006E,359
W01001209,Rhondda Cynon Taf 008A,6
W01001410,Caerphilly 016D,566
W01000467,Powys 010D,1536
W01001759,Cardiff 046A,796
W01000364,Wrexham 006E,1223
W01001902,Powys 017G,515
W01001312,Merthyr Tydfil 006E,428
W01000687,Carmarthenshire 004C,883
W01000752,Swansea 002C,297
W01001818,Cardiff 009D,1190
W01001276,Rhondda Cynon Taf 013D,107
W01001688,Newport 019C,712
W01001685,Newport 014B,339
W01000110,Gwynedd 006D,1204
W01000339,Flintshire 019D,1120
W01000331,Flintshire 015F,1287
W01000338,Flintshire 001C,1052
W01000333,Flintshire 009B,158
W01000330,Flintshire 015E,789
W01000335,Flintshire 009D,260
W01000332,Flintshire 009A,575
W01000659,Carmarthenshire 026A,196
W01000658,Carmarthenshire 010C,525
W01001465,Blaenau Gwent 009B,239
W01001524,Torfaen 004D,505
W01000673,Carmarthenshire 027F,881
W01000713,Carmarthenshire 015E,1061
W01000672,Carmarthenshire 027E,641
W01000792,Swansea 004B,1806
W01000675,Carmarthenshire 012A,1278
W01000793,Swansea 004C,1765
W01000674,Carmarthenshire 027A,1112
W01000712,Carmarthenshire 015D,1299
W01000710,Carmarthenshire 021D,1586
W01000791,Swansea 004A,1749
W01000843,Swansea 005E,1405
W01000761,Swansea 013B,724
W01000760,Swansea 013A,624
W01000763,Swansea 015A,649
W01001840,Cardiff 007D,1164
W01001842,Cardiff 003B,1758
W01001843,Cardiff 003C,1700
W01001847,Cardiff 006D,1836
W01001844,Cardiff 003D,1616
W01001841,Cardiff 003A,1673
W01001670,Newport 009B,1789
W01001673,Newport 009D,1816
W01000429,Powys 010A,1281
W01001671,Newport 016D,804
W01001739,Cardiff 039C,24
W01001738,Cardiff 039B,28
W01000006,Isle of Anglesey 006A,1116
W01001402,Caerphilly 011B,423
W01001483,Torfaen 002B,197
W01001405,Caerphilly 011E,715
W01000704,Carmarthenshire 022B,1309
W01000785,Swansea 007B,1851
W01001481,Blaenau Gwent 006E,203
W01001813,Cardiff 017D,139
W01001008,Bridgend 011B,1728
W01001270,Rhondda Cynon Taf 010B,745
W01001600,Newport 012A,1819
W01000073,Gwynedd 008A,1375
W01000738,Swansea 014A,81
W01000978,Bridgend 004B,527
W01000915,Neath Port Talbot 010D,930
W01000994,Bridgend 001D,232
W01000914,Neath Port Talbot 010C,212
W01000995,Bridgend 001E,632
W01000996,Bridgend 008A,816
W01000917,Neath Port Talbot 010F,1305
W01000993,Bridgend 001C,194
W01000912,Neath Port Talbot 010A,621
W01000556,Pembrokeshire 008B,1258
W01000848,Swansea 001D,374
W01000823,Swansea 031A,1905
W01000347,Wrexham 006A,1514
W01001915,Rhondda Cynon Taf 027F,1872
W01001912,Newport 020E,1131
W01001914,Rhondda Cynon Taf 023F,1723
W01001917,Rhondda Cynon Taf 023G,920
W01001916,Rhondda Cynon Taf 027G,1907
W01001913,Newport 020F,1621
W01001196,Rhondda Cynon Taf 027B,1736
W01001114,The Vale of Glamorgan 008A,1899
W01001197,Rhondda Cynon Taf 027C,1879
W01001117,The Vale of Glamorgan 014B,1553
W01001116,The Vale of Glamorgan 005A,1857
W01001195,Rhondda Cynon Taf 030C,1139
W01001115,The Vale of Glamorgan 008B,1715
W01000236,Denbighshire 006A,57
W01001753,Cardiff 031C,151
W01000856,Swansea 022D,382
W01000081,Gwynedd 005B,1260
W01001590,Monmouthshire 009D,1608
W01001510,Torfaen 005A,1175
W01001591,Monmouthshire 011E,1804
W01001592,Monmouthshire 008D,450
W01001513,Torfaen 005D,1748
W01001511,Torfaen 005B,1081
W01000538,Ceredigion 005C,1003
W01000539,Ceredigion 005D,767
W01001236,Rhondda Cynon Taf 021G,1297
W01000259,Flintshire 017A,921
W01000252,Flintshire 010A,1498
W01001029,Bridgend 019A,1603
W01000126,Conwy 009A,1466
W01000127,Conwy 009B,190
W01000124,Conwy 012A,1251
W01000125,Conwy 013B,1293
W01000754,Swansea 002E,766
W01001890,Cardiff 021D,1681
W01001363,Caerphilly 012A,619
W01001153,Rhondda Cynon Taf 002C,432
W01001863,Cardiff 022A,829
W01000248,Denbighshire 008D,1243
W01000249,Flintshire 014A,1862
W01000513,Ceredigion 002B,784
W01001938,Swansea 025E,1105
W01000593,Pembrokeshire 010C,794
W01000512,Ceredigion 002A,1546
W01001729,Cardiff 014C,1717
W01000642,Carmarthenshire 008B,1406
W01000591,Pembrokeshire 012C,702
W01000510,Ceredigion 009D,370
W01001551,Monmouthshire 010C,797
W01001548,Monmouthshire 001B,1231
W01000646,Carmarthenshire 003A,758
W01000896,Neath Port Talbot 013C,25
W01000817,Swansea 009A,37
W01001741,Cardiff 039E,14
W01001720,Cardiff 028C,866
W01001721,Cardiff 032A,911
W01001725,Cardiff 032D,886
W01001931,Wrexham 012G,163
W01001722,Cardiff 028D,1184
W01001930,Wrexham 019F,1074
W01001933,Gwynedd 017F,1326
W01000083,Gwynedd 015D,1162
W01001629,Newport 017A,1124
W01001072,The Vale of Glamorgan 009E,1770
W01001073,The Vale of Glamorgan 015E,216
W01001077,The Vale of Glamorgan 004C,1202
W01001075,The Vale of Glamorgan 004A,1759
W01001198,Rhondda Cynon Taf 027D,1712
W01001076,The Vale of Glamorgan 004B,1189
W01001199,Rhondda Cynon Taf 027E,1670
W01001119,The Vale of Glamorgan 003B,1503
W01001070,The Vale of Glamorgan 009C,266
W01001071,The Vale of Glamorgan 009D,548
W01000948,Neath Port Talbot 004D,761
W01000949,Neath Port Talbot 018A,979
W01000594,Pembrokeshire 012E,310
W01000595,Pembrokeshire 007C,1186
W01000517,Ceredigion 002D,1014
W01000596,Pembrokeshire 007D,1523
W01000516,Ceredigion 003B,594
W01000515,Ceredigion 003A,533
W01001549,Monmouthshire 007A,1499
W01001598,Monmouthshire 010F,656
W01001519,Torfaen 007A,93
W01001599,Monmouthshire 004F,986
W01000224,Denbighshire 009C,1329
W01000227,Denbighshire 004B,973
W01000226,Denbighshire 004A,351
W01000225,Denbighshire 009D,1210
W01000851,Swansea 021C,811
W01001020,Bridgend 002E,427
W01000757,Swansea 017C,775
W01001364,Caerphilly 012B,123
W01001454,Blaenau Gwent 008E,387
W01001457,Blaenau Gwent 004D,86
W01001456,Blaenau Gwent 004C,365
W01001154,Rhondda Cynon Taf 003D,451
W01001455,Blaenau Gwent 008F,520
W01001865,Cardiff 022C,1373
W01001231,Rhondda Cynon Taf 017D,415
W01001230,Rhondda Cynon Taf 017C,1280
W01001233,Rhondda Cynon Taf 001F,707
W01001837,Cardiff 030C,703
W01001836,Cardiff 030B,1140
W01001835,Cardiff 033F,89
W01001834,Cardiff 033E,531
W01000969,Neath Port Talbot 009D,1672
W01000327,Flintshire 018C,1773
W01001567,Monmouthshire 005B,828
W01001895,Cardiff 010D,345
W01001002,Bridgend 010D,272
W01000140,Conwy 010B,647
W01000141,Conwy 010C,1598
W01000820,Swansea 009D,1021
W01000343,Wrexham 007A,1877
W01000219,Denbighshire 001B,836
W01000298,Flintshire 001B,475
W01000218,Denbighshire 001A,592
W01000237,Denbighshire 006B,19
W01001750,Cardiff 031A,255
W01000089,Gwynedd 011D,1102
W01001907,Powys 001G,1064
W01001396,Caerphilly 023D,242
W01000600,Pembrokeshire 013A,148
W01000755,Swansea 017A,861
W01001369,Caerphilly 012D,1101
W01001159,Rhondda Cynon Taf 028C,1753
W01001470,Blaenau Gwent 001D,1103
W01000859,Swansea 027B,1729
W01000858,Swansea 027A,1784
W01001831,Cardiff 030A,812
W01001830,Cardiff 033B,368
W01000482,Powys 008C,1315
W01000403,Wrexham 018C,1465
W01000481,Powys 008B,1470
W01001797,Cardiff 005C,1601
W01000400,Wrexham 005C,1033
W01001717,Cardiff 035D,879
W01001716,Cardiff 035C,1345
W01000939,Neath Port Talbot 008D,49
W01000938,Neath Port Talbot 008C,1416
W01000749,Swansea 026A,660
W01001278,Rhondda Cynon Taf 028E,668
W01001698,Cardiff 036E,173
W01000723,Carmarthenshire 012E,787
W01001619,Newport 003C,77
W01000722,Carmarthenshire 012D,1445
W01000725,Carmarthenshire 011D,955
W01001215,Rhondda Cynon Taf 011C,141
W01001214,Rhondda Cynon Taf 011B,1451
W01001294,Merthyr Tydfil 003B,1746
W01001217,Rhondda Cynon Taf 018A,262
W01001295,Merthyr Tydfil 002A,127
W01001216,Rhondda Cynon Taf 011D,493
W01001296,Merthyr Tydfil 002B,935
W01001293,Merthyr Tydfil 004B,567
W01000892,Neath Port Talbot 015D,1456
W01000812,Swansea 008C,154
W01000893,Neath Port Talbot 003A,559
W01000328,Flintshire 011C,441
W01001252,Rhondda Cynon Taf 024D,1641
W01001686,Newport 014C,808
W01000193,Denbighshire 015A,700
W01001880,Cardiff 013B,61
W01001447,Blaenau Gwent 002B,282
W01001881,Cardiff 013C,165
W01001800,Cardiff 005D,605
W01001446,Blaenau Gwent 002A,942
W01001444,Blaenau Gwent 005B,495
W01001784,Cardiff 026F,1676
W01001785,Cardiff 023A,189
W01001705,Cardiff 045C,234
W01001704,Cardiff 041A,27
W01001707,Cardiff 041C,116
W01000733,Carmarthenshire 026E,17
W01001702,Cardiff 045A,564
W01000976,Bridgend 003A,346
W01000815,Swansea 003E,1570
W01000894,Neath Port Talbot 013A,708
W01000814,Swansea 008E,205
W01000813,Swansea 008D,1250
W01001728,Cardiff 014B,1896
W01000592,Pembrokeshire 012D,254
W01001939,Cardiff 032F,833
W01001520,Torfaen 007B,975
W01001625,Newport 001C,1331
W01000095,Gwynedd 012C,1481
W01001640,Newport 004B,1595
W01001641,Newport 004C,1660
W01000860,Swansea 027C,1881
W01000861,Swansea 027D,1754
W01000826,Swansea 031D,1760
W01001608,Newport 008B,1426
W01001925,Carmarthenshire 023F,908
W01000130,Conwy 012C,1688
W01000192,Denbighshire 016A,953
W01000084,Gwynedd 014D,1378
W01001628,Newport 001F,556
W01001652,Newport 002B,79
W01001655,Newport 002E,1666
W01001654,Newport 002D,1528
W01000079,Gwynedd 013C,1018
W01000683,Carmarthenshire 005C,648
W01001810,Cardiff 017B,218
W01001366,Caerphilly 019A,1138
W01001156,Rhondda Cynon Taf 003E,1886
W01000798,Swansea 010C,1091
W01000799,Swansea 010D,386
W01000719,Carmarthenshire 010E,835
W01001867,Cardiff 016B,103
W01001580,Monmouthshire 002E,1071
W01000587,Pembrokeshire 010A,734
W01000589,Pembrokeshire 012A,684
W01000578,Pembrokeshire 014B,1228
W01000571,Pembrokeshire 006A,960
W01000570,Pembrokeshire 005C,71
W01000573,Pembrokeshire 006B,1435
W01000638,Carmarthenshire 007B,369
W01000579,Pembrokeshire 003A,1185
W01000631,Carmarthenshire 024D,84
W01000015,Isle of Anglesey 008C,1704
W01000643,Carmarthenshire 006A,971
W01000454,Powys 013A,378
W01000091,Gwynedd 001D,167
W01000011,Isle of Anglesey 008B,1377
W01001826,Cardiff 024B,1701
W01001827,Cardiff 024C,1811
W01000455,Powys 013B,769
W01001320,Merthyr Tydfil 007C,777
W01001322,Merthyr Tydfil 007E,552
W01001325,Caerphilly 003A,349
W01001324,Merthyr Tydfil 003E,1051
W01001327,Caerphilly 014A,1032
W01001326,Caerphilly 003B,177
W01001079,The Vale of Glamorgan 012E,388
W01001078,The Vale of Glamorgan 004D,1671
W01001328,Caerphilly 014B,718
W01001321,Merthyr Tydfil 007D,585
W01000262,Flintshire 017C,627
W01000265,Flintshire 012B,1520
W01000264,Flintshire 012A,1693
W01000267,Flintshire 017F,1696
W01000263,Flintshire 017D,470
W01000623,Pembrokeshire 004D,1314
W01000622,Pembrokeshire 008E,1414
W01000625,Carmarthenshire 013A,384
W01001473,Blaenau Gwent 003B,53
W01001472,Blaenau Gwent 003A,1089
W01001475,Blaenau Gwent 003D,799
W01001474,Blaenau Gwent 003C,437
W01001832,Cardiff 033C,514
W01001833,Cardiff 033D,622
W01001451,Blaenau Gwent 007B,312
W01000465,Powys 018E,1605
W01000847,Swansea 001C,964
W01000169,Conwy 001D,521
W01000168,Conwy 002B,590
W01000163,Conwy 009E,193
W01000162,Conwy 014C,1001
W01000165,Conwy 006C,1830
W01000164,Conwy 009F,1328
W01000167,Conwy 011C,615
W01000166,Conwy 006D,1084
W01000057,Gwynedd 016C,889
W01000056,Gwynedd 009A,558
W01001499,Torfaen 011C,1306
W01001239,Rhondda Cynon Taf 026B,145
W01001238,Rhondda Cynon Taf 022C,26
W01001264,Rhondda Cynon Taf 022F,937
W01001267,Rhondda Cynon Taf 007C,248
W01000221,Denbighshire 003B,646
W01000228,Denbighshire 004C,133
W01001266,Rhondda Cynon Taf 007B,114
W01000232,Denbighshire 017B,1152
W01001265,Rhondda Cynon Taf 007A,487
W01001756,Cardiff 025B,1019
W01000923,Neath Port Talbot 007D,1182
W01000922,Neath Port Talbot 007C,422
W01000925,Neath Port Talbot 003B,331
W01000924,Neath Port Talbot 011C,338
W01000927,Neath Port Talbot 020B,773
W01000926,Neath Port Talbot 003C,978
W01000413,Wrexham 010C,9
W01000493,Powys 017E,1687
W01000412,Wrexham 015D,893
W01000415,Wrexham 007C,1535
W01000494,Powys 015E,1341
W01000492,Powys 017D,1063
W01000374,Wrexham 003A,600
W01000377,Wrexham 004A,1421
W01000376,Wrexham 003C,1542
W01000098,Gwynedd 006C,155
W01000019,Isle of Anglesey 005C,1233
W01000099,Gwynedd 005C,1349
W01000018,Isle of Anglesey 001C,1145
W01000090,Gwynedd 002D,300
W01001851,Cardiff 012D,1703
W01000372,Wrexham 008C,430
W01000375,Wrexham 003B,1583
W01001850,Cardiff 012C,1860
W01000360,Wrexham 019D,574
W01000153,Conwy 009D,1277
W01001166,Rhondda Cynon Taf 016A,191
W01000202,Denbighshire 015B,1334
W01000283,Flintshire 008E,1294
W01001942,Cardiff 049B,301
W01000284,Flintshire 013C,1852
W01000205,Denbighshire 016B,1192
W01001944,Cardiff 048C,1707
W01000204,Denbighshire 013B,1607
W01001945,Cardiff 048D,1647
W01001946,Cardiff 049C,414
W01001947,Cardiff 048E,1648
W01000203,Denbighshire 013A,1508
W01001943,Cardiff 048B,1221
W01001379,Caerphilly 013C,1390
W01001371,Caerphilly 022A,237
W01001378,Caerphilly 013B,544
W01001310,Merthyr Tydfil 002E,1012
W01001174,Rhondda Cynon Taf 020C,83
W01000449,Powys 011C,1417
W01000607,Pembrokeshire 015C,399
W01000433,Powys 006A,1094
W01000432,Powys 014B,1626
W01000434,Powys 007A,1047
W01001531,Torfaen 003D,319
W01001530,Torfaen 003C,40
W01001566,Monmouthshire 005A,756
W01001533,Torfaen 012B,1814
W01001532,Torfaen 010E,283
W01001898,Merthyr Tydfil 008F,502
W01000849,Swansea 021A,269
W01000247,Denbighshire 010C,1114
W01000235,Denbighshire 017D,1453
W01001751,Cardiff 027D,181
W01001479,Blaenau Gwent 006D,35
W01001478,Blaenau Gwent 006C,867
W01001772,Cardiff 021A,1628
W01000365,Wrexham 011C,1365
W01000777,Swansea 012B,1722
W01000776,Swansea 030B,1611
W01000154,Conwy 003A,1742
W01000774,Swansea 005B,1030
W01001623,Newport 001A,1526
W01000536,Ceredigion 011E,685
W01000537,Ceredigion 008D,776
W01001268,Rhondda Cynon Taf 007D,286
W01001269,Rhondda Cynon Taf 010A,869
W01000419,Wrexham 016D,754
W01000498,Powys 003A,292
W01000418,Wrexham 020E,1415
W01000499,Powys 003B,563
W01001393,Caerphilly 019D,407
W01000601,Pembrokeshire 013B,62
W01001859,Cardiff 034B,1229
W01001858,Cardiff 034A,1316
W01000445,Powys 015C,1358
W01001899,Powys 021F,667
W01001817,Cardiff 009C,831
W01001085,The Vale of Glamorgan 002D,1708
W01001342,Caerphilly 021A,1665
W01001285,Rhondda Cynon Taf 014D,639
W01001204,Rhondda Cynon Taf 006A,1015
W01000401,Wrexham 005D,696
W01000427,Powys 011A,830
W01000426,Powys 021A,950
W01000348,Wrexham 006B,529
W01001207,Rhondda Cynon Taf 006D,136
W01001286,Rhondda Cynon Taf 014E,598
W01001284,Rhondda Cynon Taf 015E,1620
W01001205,Rhondda Cynon Taf 006B,468
W01000273,Flintshire 007A,672
W01000201,Denbighshire 008B,779
W01000280,Flintshire 010B,1588
W01000289,Flintshire 005A,1612
W01001588,Monmouthshire 010D,1590
W01001504,Torfaen 013A,970
W01001609,Newport 015B,111
W01001605,Newport 014A,459
W01000190,Conwy 014D,1168
W01000750,Swansea 002A,496
W01000136,Conwy 006B,1610
W01001754,Cardiff 031D,1086
W01000829,Swansea 018C,1255
W01000087,Gwynedd 004C,1634
W01000142,Conwy 010D,1739
W01000663,Carmarthenshire 016B,1157
W01000662,Carmarthenshire 016A,1066
W01000665,Carmarthenshire 017A,1680
W01000660,Carmarthenshire 026B,236
W01001796,Cardiff 002C,1679
W01001714,Cardiff 035A,1637
W01001736,Cardiff 008C,1829
W01000238,Denbighshire 006C,651
W01001661,Newport 018C,88
W01000871,Swansea 026B,774
W01000870,Swansea 024D,1541
W01000878,Swansea 007F,1330
W01000887,Neath Port Talbot 005A,735
W01000886,Neath Port Talbot 017C,44
W01000806,Swansea 003A,1088
W01000001,Isle of Anglesey 007A,885
W01000690,Carmarthenshire 019A,1283
W01000611,Pembrokeshire 004C,1443
W01000691,Carmarthenshire 019B,1396
W01001626,Newport 001D,1413
W01001316,Merthyr Tydfil 005B,1343
W01000441,Powys 005B,1561
W01000447,Powys 007C,1259
W01001360,Caerphilly 002A,832
W01001150,Rhondda Cynon Taf 003B,273
W01000323,Flintshire 012C,1678
W01001606,Newport 008A,1477
W01000114,Gwynedd 009D,1119
W01000507,Ceredigion 009A,1213
W01001529,Torfaen 003B,381
W01000732,Carmarthenshire 026D,396
W01001871,Cardiff 037B,54
W01001870,Cardiff 037A,535
W01001873,Cardiff 038C,162
W01000728,Carmarthenshire 003D,849
W01000729,Carmarthenshire 018C,342
W01000837,Swansea 004D,1845
W01000834,Swansea 011D,201
W01000836,Swansea 011E,279
W01000519,Ceredigion 010A,1115
W01000598,Pembrokeshire 009C,1142
W01000599,Pembrokeshire 009D,852
W01000092,Gwynedd 001E,1566
W01000010,Isle of Anglesey 002A,1624
W01000093,Gwynedd 006B,1454
W01000013,Isle of Anglesey 005B,1777
W01000094,Gwynedd 012B,1574
W01000116,Gwynedd 017D,1410
W01000012,Isle of Anglesey 006B,1494
W01000734,Carmarthenshire 026F,144
W01001010,Bridgend 012B,489
W01001011,Bridgend 012C,1428
W01001092,The Vale of Glamorgan 007B,878
W01001091,The Vale of Glamorgan 010A,1740
W01001093,The Vale of Glamorgan 013C,476
W01001229,Rhondda Cynon Taf 017B,752
W01001013,Bridgend 005B,721
W01001015,Bridgend 002B,322
W01001012,Bridgend 005A,1367
W01001228,Rhondda Cynon Taf 021D,994
W01001090,The Vale of Glamorgan 006E,1695
W01001018,Bridgend 002D,334
W01001413,Caerphilly 017C,635
W01000207,Denbighshire 015C,1155
W01000369,Wrexham 020F,1668
W01000522,Ceredigion 010B,790
W01000286,Flintshire 013E,1846
W01000206,Denbighshire 013C,1253
W01000287,Flintshire 001A,409
W01000525,Ceredigion 011A,1875
W01000524,Ceredigion 005B,1040
W01000285,Flintshire 013D,1876
W01000523,Ceredigion 001C,1214
W01000158,Conwy 004D,1506
W01000588,Pembrokeshire 010B,298
W01001535,Torfaen 012D,1401
W01001534,Torfaen 012C,1060
W01001537,Torfaen 007E,1467
W01001358,Caerphilly 006C,251
W01001359,Caerphilly 006D,929
W01001350,Caerphilly 009C,945
W01001351,Caerphilly 005D,1682
W01000318,Flintshire 016F,295
W01000399,Wrexham 013B,1548
W01000251,Flintshire 013A,1272
W01001390,Caerphilly 006E,1733
W01000341,Wrexham 009A,961
W01001173,Rhondda Cynon Taf 020B,96
W01000544,Ceredigion 007C,1076
W01001417,Caerphilly 008D,1565
W01001583,Monmouthshire 007B,1382
W01001774,Cardiff 018D,1855
W01001646,Newport 015E,134
W01001647,Newport 015F,740
W01000143,Conwy 007B,477
W01000144,Conwy 007C,20
W01000145,Conwy 008B,792
W01000246,Denbighshire 010B,1020
W01000146,Conwy 001B,623
W01000147,Conwy 001C,1107
W01000148,Conwy 015D,1267
W01000149,Conwy 005A,296
W01000244,Denbighshire 014C,1887
W01001869,Cardiff 038A,416
W01001274,Rhondda Cynon Taf 013B,4
W01001584,Monmouthshire 008B,1252
W01000104,Gwynedd 008C,1090
W01000184,Conwy 005E,439
W01000186,Conwy 001E,364
W01000185,Conwy 015E,1195
W01000187,Conwy 002C,78
W01000107,Gwynedd 010E,1082
W01000106,Gwynedd 010D,1661
W01000105,Gwynedd 010C,1141
W01000102,Gwynedd 002E,1633
W01001683,Newport 006D,1005
W01000118,Gwynedd 007D,1006
W01001463,Blaenau Gwent 006B,1183
W01000540,Ceredigion 005E,981
W01000971,Neath Port Talbot 004G,872
W01000543,Ceredigion 011C,802
W01001497,Torfaen 011A,511
W01000500,Powys 003C,1093
W01001926,Conwy 011F,1500
W01000135,Conwy 006A,1856
W01000344,Wrexham 007B,1776
W01001660,Newport 018B,241
W01001663,Newport 008C,329
W01001662,Newport 018D,10
W01001665,Newport 008D,645
W01000518,Ceredigion 003C,1045
W01000835,Swansea 013E,157
W01000832,Swansea 011B,22
W01001343,Caerphilly 021B,1638
W01001344,Caerphilly 020C,1054
W01001345,Caerphilly 021C,43
W01001346,Caerphilly 020D,826
W01001347,Caerphilly 005C,1009
W01001138,Rhondda Cynon Taf 005B,243
W01001139,Rhondda Cynon Taf 005C,841
W01001340,Caerphilly 020A,1652
W01001341,Caerphilly 020B,293
W01001525,Torfaen 003A,343
W01000970,Neath Port Talbot 005D,722
W01000272,Flintshire 006D,1557
